Zone,X,Y,N,MeanBS,MedBS,Mean_BS,Med_BS,MeanAA,MedAA,Mean_AA,Med_AA,MeanVBA,MedVBA,Mean_VBA,Med_VBA,MeanCI,MedCI,Mean_CI,Med_CI,MeanEC,MedEC,Mean_EC,Med_EC,MeanOPE,MedOPE,Mean_OPE,Med_OPE,MeanTTC,MedTTC,Mean_TTC,Med_TTC
Down & Away,0.545,1.9665,47,68.7,69,0.39,0.48,9.9,10,-0.01,0,-32.8,-34,-0.54,-0.71,80.3,79,-0.04,0,90.81,92,-0.33,-0.19,70.94,72,0.39,0.33,0.149,0.15,-0.51,-0.53
Down & In,-0.545,1.9665,71,68.8,69.2,0.39,0.45,8.5,9,-0.21,-0.14,-27.8,-28,0.02,0,80,78,-0.39,-0.5,92.37,88,-0.63,-0.64,74.76,74,0.98,1.1,0.149,0.15,-0.47,-0.53
Down & Middle,0,1.9665,70,69,69.5,0.41,0.59,12.1,12,0.26,0.29,-29,-30,-0.07,-0.13,82.2,81,-0.17,-0.13,95.14,93,-0.37,-0.34,70.97,71.5,0.65,0.61,0.15,0.15,-0.41,-0.7
Middle Away,0.545,2.579,56,68.5,68.8,0.3,0.38,10.6,12,0.08,0.23,-28.7,-29.5,0.01,0.07,83.3,82,0.26,0.54,97.79,96.5,0.1,0.06,68.41,68.5,0.07,0.14,0.144,0.14,-0.94,-1
Middle In,-0.545,2.579,81,66.6,66.6,-0.02,0.1,6.5,7,-0.49,-0.43,-24.7,-25,0.54,0.43,81.6,80,-0.27,-0.2,95.09,91,-0.43,-0.45,74.28,72,0.85,0.8,0.149,0.15,-0.61,-0.7
Middle Middle,0,2.579,82,68.7,69.2,0.38,0.41,7.8,8,-0.31,-0.29,-27.1,-28,0.22,0.2,81.3,79.5,-0.16,-0.14,96.07,94,-0.23,-0.29,72.83,72,0.67,0.65,0.145,0.14,-0.92,-1.06
Up & Away,0.545,3.193,23,66.8,66.2,0.02,-0.07,8.7,11,-0.16,0.25,-26.6,-27,0.4,0.38,83.3,80,0.28,0.33,101.09,100,0.4,0.5,72.17,73,0.27,0.29,0.143,0.14,-1.15,-1
Up & In,-0.545,3.193,30,68.1,68.7,0.09,0.05,9.9,10,-0.09,0,-19.1,-18.5,1.17,1.14,79.9,80,-0.19,0.06,95.03,93,-0.26,-0.25,71.33,72,0.49,0.5,0.148,0.15,-0.45,-0.53
Up & Middle,0,3.193,55,66.9,67.4,-0.08,-0.08,8.6,9,-0.21,-0.29,-22,-22,0.9,0.86,79.4,76,-0.27,-0.29,96.31,95,0,-0.07,71.65,72,0.38,0.33,0.144,0.15,-0.97,-1
